iter	Logloss
0	0.6481974346
1	0.6132391321
2	0.5873359728
3	0.5670161229
4	0.5498595135
5	0.5346506072
6	0.5222284206
7	0.5126556962
8	0.5052121159
9	0.498981701
10	0.4934036986
11	0.4879776349
12	0.484158709
13	0.4806399468
14	0.4772098329
15	0.4739294251
16	0.471440427
17	0.4690203179
18	0.4666429511
19	0.464600882
20	0.4624483486
21	0.4607642927
22	0.4594270597
23	0.4575934698
24	0.4560618503
25	0.4545588119
26	0.4532974816
27	0.4522048478
28	0.4512018948
29	0.4497716785
30	0.4486224927
31	0.4478354865
32	0.4468436842
33	0.4460566366
34	0.4450856274
35	0.4441607877
36	0.4431289504
37	0.4422188527
38	0.4414306642
39	0.4405960042
40	0.4395742835
41	0.4388399852
42	0.4380693276
43	0.4372095993
44	0.436557514
45	0.4359455269
46	0.4352182254
47	0.4344914921
48	0.4339844304
49	0.4332232173
50	0.4322422906
51	0.4317429398
52	0.430902354
53	0.4301731064
54	0.4295994859
55	0.4290265147
56	0.4283907987
57	0.4277163014
58	0.4271774855
59	0.4266028989
60	0.4259887153
61	0.4252892626
62	0.4244404021
63	0.4239100915
64	0.4233109952
65	0.4228211669
66	0.4221197916
67	0.4214122759
68	0.4209370874
69	0.4201275387
70	0.4195140456
71	0.4189900804
72	0.4184056554
73	0.4179483965
74	0.4174019268
75	0.4166372274
76	0.4159929542
77	0.4152109003
78	0.4144651599
79	0.4138345669
80	0.4134500112
81	0.4130114976
82	0.4124637021
83	0.4119633859
84	0.4112714508
85	0.4108024297
86	0.4104974339
87	0.4099703765
88	0.4093609015
89	0.4088831782
90	0.4081268937
91	0.4075087941
92	0.4067476103
93	0.4064231427
94	0.405965864
95	0.4054307126
96	0.405023898
97	0.4047186879
98	0.4042154319
99	0.4038037506
100	0.4032555739
101	0.4026434174
102	0.4021712687
103	0.4016960956
104	0.4012272373
105	0.4009486712
106	0.4004641455
107	0.4000781107
108	0.3995329238
109	0.3990068803
110	0.3986390212
111	0.3980676932
112	0.3975777364
113	0.3970931806
114	0.3963166537
115	0.3958280044
116	0.395432814
117	0.3951083128
118	0.3945787909
119	0.39394442
120	0.3934700078
121	0.3930987889
122	0.3926320988
123	0.3921009759
124	0.3917470281
125	0.3912472117
126	0.3908062585
127	0.3904035481
128	0.3897958177
129	0.3892977313
130	0.3888215094
131	0.3883825358
132	0.3878709606
133	0.3873359094
134	0.3870443729
135	0.3866687352
136	0.3862840556
137	0.385757085
138	0.3852236606
139	0.3848454211
140	0.3845734826
141	0.384183681
142	0.3836160079
143	0.383140725
144	0.3827876897
145	0.3822212944
146	0.3816035396
147	0.3812335539
148	0.3808577233
149	0.3801953768
150	0.3796989339
151	0.3793347965
152	0.3788843338
153	0.3783291306
154	0.3776485843
155	0.3772182217
156	0.376796434
157	0.3763543415
158	0.3760446772
159	0.375572978
160	0.3752093361
161	0.374754379
162	0.3741820535
163	0.3735256887
164	0.3729583038
165	0.3725307264
166	0.3721976519
167	0.371711994
168	0.3712708453
169	0.3708314589
170	0.3704684678
171	0.3699860256
172	0.3695337127
173	0.3692382879
174	0.3687911402
175	0.3684708107
176	0.3679775137
177	0.3675312345
178	0.3671661299
179	0.3668328606
180	0.3662299433
181	0.3657642954
182	0.365428396
183	0.3650777217
184	0.364762725
185	0.3643467417
186	0.3639713429
187	0.3633988295
188	0.3629578255
189	0.3625057501
190	0.3620800263
191	0.3614923385
192	0.3610267755
193	0.3605858593
194	0.3600531364
195	0.3597308497
196	0.3595257275
197	0.3590817715
198	0.3587040735
199	0.3583350232
200	0.3579736854
201	0.3576708194
202	0.3574915612
203	0.3572685359
204	0.3569740324
205	0.3564934367
206	0.3561829544
207	0.3559133443
208	0.3556601253
209	0.3553082169
210	0.3549641902
211	0.3545763776
212	0.3541223438
213	0.3537736523
214	0.3534968862
215	0.3531821329
216	0.3526972388
217	0.3523319679
218	0.3519062503
219	0.3515336185
220	0.3509922063
221	0.350775206
222	0.3503641452
223	0.350101074
224	0.3499247355
225	0.3496253345
226	0.3491458609
227	0.3487623051
228	0.3484202246
229	0.3481162908
230	0.3476208884
231	0.3471335387
232	0.3468557762
233	0.3463956647
234	0.3460112075
235	0.3455556884
236	0.3452236509
237	0.344986344
238	0.3445255316
239	0.3440822927
240	0.3438476208
241	0.3434875469
242	0.3431795352
243	0.3428583731
244	0.3424016556
245	0.342053601
246	0.3416651942
247	0.3413268542
248	0.3410185173
249	0.3407857136
250	0.3404916143
251	0.3401244677
252	0.3398421763
253	0.3396039275
254	0.339274761
255	0.3389304239
256	0.3386363812
257	0.3383425577
258	0.3379477896
259	0.3375924956
260	0.3371880594
261	0.3367879584
262	0.336490857
263	0.336338026
264	0.3360746442
265	0.3357089566
266	0.3353977425
267	0.3350691337
268	0.3349286527
269	0.334616743
270	0.3341585471
271	0.3338591066
272	0.333511154
273	0.3330826306
274	0.3328227538
275	0.3324995275
276	0.3322634568
277	0.331888151
278	0.3315398132
279	0.3312777802
280	0.3309810257
281	0.3306308637
282	0.3304022773
283	0.3301065786
284	0.329805291
285	0.3293989635
286	0.329021993
287	0.3287664047
288	0.3284253028
289	0.3280755733
290	0.3277720124
291	0.3274193554
292	0.3271700767
293	0.3269385357
294	0.3267893263
295	0.3263676469
296	0.3261524057
297	0.3258314761
298	0.3255529503
299	0.325093848
300	0.3249214214
301	0.3246026333
302	0.3242606517
303	0.323935073
304	0.323686499
305	0.3234619931
306	0.3230256267
307	0.3227535651
